"","views","favorite","post_info","price","car_name","year","A.C","emission_class","seats_amount","horsepower","color","car_mileage..km","engine_capacity..cc","type_of_drive","doors","fuel","car_type","gearbox"
"1",452,6,"posted 2 weeks ago",220,"Zastava 101",2006,"no A/C","Euro 2",5,60,"red",5555,NA,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"2",145,8,"posted 2 weeks ago",3800,"Zastava Florida In",2008,"no A/C","Euro 2",5,65,"bordeaux",6950,1299,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"3",82,0,"posted 4 days ago",22500,"Volkswagen Polo",2023,"manual A/C","Euro 6",5,95,"white",9500,1000,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"4",68,1,"posted a week ago",18000,"Hyundai Bayon",2024,"automatic A/C","Euro 6",5,84,"red",9600,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"5",139,1,"posted 2 weeks ago",4000,"Audi A4",2007,"automatic A/C","Euro 4",5,190,"gray",10000,1936,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6",184,2,"posted 2 days ago",700,"Opel Astra",2000,"manual A/C","Euro 1",5,101,"gray",10000,1598,"front","4/5 doors","petrol","caravan","manual, 5 speeds"
"7",132,0,"posted 4 weeks ago",2500,"Opel Corsa D",2007,"no A/C","",5,408,"black",10000,NA,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"8",182,1,"posted 2 days ago",2478,"Audi TT",2006,"automatic A/C","Euro 4",4,200,"silver",10000,1984,"front","2/3 doors","petrol","coupe","manual, 6 speeds"
"9",283,2,"posted a week ago",2000,"Mini Countryman",2013,"no A/C","Euro 5",5,7,"white",10000,1600,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"10",285,4,"posted a week ago",180,"Audi 80",1988,"manual A/C","Euro 2",5,90,"gray",10000,1800,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"11",185,1,"posted 3 weeks ago",100,"Volkswagen Golf 2",1992,"no A/C","Euro 3",5,60,"black",10000,1800,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"12",234,2,"posted 3 weeks ago",100,"Zastava 101",2000,"no A/C","Euro 3",5,54,"green",10000,NA,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
